X,Y,SPECIES NAME
4201500,2814500,Abies alba
4224500,2744500,Abies alba
4328500,2880500,Abies alba
4247500,2809500,Abies alba
4322500,2750500,Abies alba
4169500,2811500,Abies alba
4092500,3038500,Abies alba
4203500,2828500,Abies alba
4557000,2825500,Abies alba
4454500,3051500,Abies alba
4223500,2810500,Abies alba
4232500,2782500,Abies alba
4194500,2766500,Abies alba
4343500,2702500,Abies alba
4194500,2782500,Abies alba
4235500,2844000,Abies alba
4205500,2820500,Abies alba
4216500,2786500,Abies alba
4386500,3049500,Abies alba
4385500,2953500,Abies alba
4206500,2754500,Abies alba
4197500,2722500,Abies alba
4521500,2808500,Abies alba
4238500,2796500,Abies alba
4219500,2832500,Abies alba
4304500,2729500,Abies alba
4196500,2798500,Abies alba
4234500,2780000,Abies alba
4178500,2780500,Abies alba
4531500,2721500,Abies alba
4162500,2799500,Abies alba
4189500,2842500,Abies alba
4221500,2846500,Abies alba
4189500,2848500,Abies alba
4518500,2916500,Abies alba
4179500,2810500,Abies alba
4276500,2937500,Abies alba
4451500,2722500,Abies alba
4185500,2826500,Abies alba
4258500,2933500,Abies alba
4174500,2766500,Abies alba
4411500,2721500,Abies alba
4170500,2768500,Abies alba
4140500,2953500,Abies alba
4188500,2730500,Abies alba
4306500,2881500,Abies alba
4596500,2855500,Abies alba
4288500,2769500,Abies alba
4520500,2832500,Abies alba
4152500,2747500,Abies alba
4156500,2763500,Abies alba
4170500,2765500,Abies alba
4219500,2862500,Abies alba
4204500,2784500,Abies alba
4185500,2814500,Abies alba
4200500,2766500,Abies alba
4292500,2885500,Abies alba
4213500,2852500,Abies alba
4195500,2826500,Abies alba
4455500,2871500,Abies alba
4568500,2846500,Abies alba
4318500,2904500,Abies alba
4539500,2745500,Abies alba
4170500,2751500,Abies alba
4223500,2834500,Abies alba
4230500,2764500,Abies alba
4279500,2847500,Abies alba
4337500,2712500,Abies alba
4295500,2859500,Abies alba
4283500,2865500,Abies alba
4210500,2782500,Abies alba
4215500,2836500,Abies alba
4160500,2897500,Abies alba
4287500,2863500,Abies alba
4207500,2826500,Abies alba
4278500,2909500,Abies alba
4256500,2753500,Abies alba
4166500,2791500,Abies alba
4162500,2763500,Abies alba
4568500,2858500,Abies alba
4251500,2805500,Abies alba
4150500,2747500,Abies alba
4580500,2858500,Abies alba
4168500,2737500,Abies alba
4195500,2834500,Abies alba
4398500,2757500,Abies alba
4236500,2780500,Abies alba
4198500,2800500,Abies alba
4207500,2824500,Abies alba
4299500,2863500,Abies alba
4191500,2812500,Abies alba
4318500,2766500,Abies alba
4283500,2859000,Abies alba
4196500,2764500,Abies alba
4229500,2810500,Abies alba
4211500,2826500,Abies alba
4200500,2730500,Abies alba
4298500,2723500,Abies alba
4203500,2842500,Abies alba
4347500,2858500,Abies alba
4185500,2876500,Abies alba
4192500,2792500,Abies alba
4328500,2752500,Abies alba
4185500,2804500,Abies alba
4213500,2854500,Abies alba
4313500,2871500,Abies alba
4241500,2853500,Abies alba
4180500,2930500,Abies alba
4209500,2832500,Abies alba
4207500,2860500,Abies alba
4439500,2866500,Abies alba
4427500,2714500,Abies alba
4252500,3529500,Abies alba
4525500,2816500,Abies alba
4229500,2832500,Abies alba
4273500,2981500,Abies alba
4230500,2884500,Abies alba
4229500,2802500,Abies alba
4210500,2742500,Abies alba
4198500,2768500,Abies alba
4338500,2876500,Abies alba
4228500,2768500,Abies alba
4134500,2991500,Abies alba
4289500,2863500,Abies alba
4427500,2722500,Abies alba
4338500,2886500,Abies alba
4399500,2713500,Abies alba
4380000,2853000,Abies alba
4336500,2878500,Abies alba
4262500,2927500,Abies alba
4200500,2770500,Abies alba
4320500,2786500,Abies alba
4329500,2708500,Abies alba
4362500,2780500,Abies alba
4249500,2837500,Abies alba
4230500,2730500,Abies alba
4170500,2729500,Abies alba
4168500,2793500,Abies alba
4572500,2826500,Abies alba
4415500,2722500,Abies alba
4176500,2774500,Abies alba
4403500,3017500,Abies alba
4162500,2797500,Abies alba
4374500,2924500,Abies alba
4475500,2727500,Abies alba
4180500,2800500,Abies alba
4180500,2730500,Abies alba
4187500,2818500,Abies alba
4411500,2865500,Abies alba
4196500,2774500,Abies alba
4192500,2790500,Abies alba
4197500,2848500,Abies alba
4309500,2851500,Abies alba
4467500,2743500,Abies alba
4435500,2722500,Abies alba
4197500,2854500,Abies alba
4190500,2792500,Abies alba
4213500,2818500,Abies alba
4164500,2915500,Abies alba
4170500,2892500,Abies alba
4200500,2772500,Abies alba
4215500,2838500,Abies alba
4168500,2950500,Abies alba
4173500,2810500,Abies alba
4185500,2806500,Abies alba
4160500,2753500,Abies alba
4199500,2862500,Abies alba
4301500,2871500,Abies alba
4298500,2879500,Abies alba
4184500,2742500,Abies alba
4177500,2822500,Abies alba
4329500,2700500,Abies alba
4334500,2724500,Abies alba
4117500,3048500,Abies alba
4188500,2784500,Abies alba
4200500,2728500,Abies alba
4206500,2776500,Abies alba
4213500,2848500,Abies alba
4283500,2875000,Abies alba
4559500,2873500,Abies alba
4166500,2749500,Abies alba
4299500,2839500,Abies alba
4162500,2783500,Abies alba
4423500,3030500,Abies alba
4527500,2893500,Abies alba
4280500,2931500,Abies alba
4367500,3012500,Abies alba
4228500,2788500,Abies alba
4229500,2850500,Abies alba
4193500,2826500,Abies alba
4156500,2897500,Abies alba
4225500,2804500,Abies alba
4344500,2904500,Abies alba
4162500,2761500,Abies alba
4166500,2735500,Abies alba
4439500,2718500,Abies alba
4223500,2812500,Abies alba
4162500,2781500,Abies alba
4508500,2824500,Abies alba
4201500,2858500,Abies alba
4462500,2755500,Abies alba
4193500,2810500,Abies alba
4148500,2743500,Abies alba
4184500,2794500,Abies alba
4189500,2820500,Abies alba
4411500,3033500,Abies alba
4258500,2779500,Abies alba
4227500,2856500,Abies alba
4192500,2764500,Abies alba
4207500,2840500,Abies alba
4220500,2800500,Abies alba
4334500,2720500,Abies alba
4202500,2742500,Abies alba
4286500,2875500,Abies alba
4162500,2917500,Abies alba
4205500,2846500,Abies alba
4278500,2745500,Abies alba
4545500,2813500,Abies alba
4221500,2836500,Abies alba
4349500,2716500,Abies alba
4375500,2810500,Abies alba
4407500,2709500,Abies alba
4177500,2816500,Abies alba
4252500,2945500,Abies alba
4152500,2751500,Abies alba
4215500,2850500,Abies alba
4204500,2798500,Abies alba
4209500,2806500,Abies alba
4227500,2862500,Abies alba
4289500,2871500,Abies alba
4169500,2813500,Abies alba
4198500,2792500,Abies alba
4391500,2709500,Abies alba
4216500,2878500,Abies alba
4192500,2744500,Abies alba
4527500,2897500,Abies alba
4203500,2844500,Abies alba
4233500,2842500,Abies alba
4257500,2811500,Abies alba
4296500,2883500,Abies alba
4292500,2735500,Abies alba
4215500,2860500,Abies alba
4162500,2745500,Abies alba
4215500,2840500,Abies alba
4217500,2844500,Abies alba
4246500,2925500,Abies alba
4482500,2899500,Abies alba
4179500,2832500,Abies alba
4298500,2737500,Abies alba
4174500,2734500,Abies alba
4247500,2805500,Abies alba
4496500,2828500,Abies alba
4222500,2784500,Abies alba
4196500,2728500,Abies alba
4600500,2855500,Abies alba
4325500,2864500,Abies alba
4292500,2723500,Abies alba
4297500,2859500,Abies alba
4203500,2834500,Abies alba
4194500,2802500,Abies alba
4093500,3019500,Abies alba
4180500,2774500,Abies alba
4195500,2808500,Abies alba
4546500,2905500,Abies alba
4331500,2698500,Abies alba
4223500,2856500,Abies alba
4227500,2818500,Abies alba
4340500,2904500,Abies alba
4196500,2788500,Abies alba
4182500,2750500,Abies alba
4572500,2830500,Abies alba
4196500,2760500,Abies alba
4584500,2858500,Abies alba
4201500,2830500,Abies alba
4183500,2804500,Abies alba
4478500,2903500,Abies alba
4324500,2746500,Abies alba
4567500,2886500,Abies alba
4220500,2790500,Abies alba
4195500,2846500,Abies alba
4359500,2720500,Abies alba
4229500,2846500,Abies alba
4292500,2725500,Abies alba
4383500,2713500,Abies alba
4137500,3007500,Abies alba
4207500,2822500,Abies alba
4220500,2798500,Abies alba
4150500,2741500,Abies alba
4383500,2717500,Abies alba
4273500,2843500,Abies alba
4222500,2744500,Abies alba
4270500,3353500,Abies alba
4185500,2812500,Abies alba
4187000,2796000,Abies alba
4166500,2761500,Abies alba
4176500,2754500,Abies alba
4199500,2858500,Abies alba
4403500,2725500,Abies alba
4450500,2746500,Abies alba
4324500,2756500,Abies alba
4219500,2814500,Abies alba
4192500,2770500,Abies alba
4196500,2740500,Abies alba
4276500,2877500,Abies alba
4375500,2740500,Abies alba
4150500,2749500,Abies alba
4170500,2780500,Abies alba
4587500,2867500,Abies alba
4459500,2875500,Abies alba
4320500,2734500,Abies alba
4409500,2937500,Abies alba
4573000,2826000,Abies alba
4206500,2748500,Abies alba
4220500,2780500,Abies alba
4233500,2826500,Abies alba
4294500,2875500,Abies alba
4219500,2810500,Abies alba
4211500,2840500,Abies alba
4193500,2852500,Abies alba
4209500,2808500,Abies alba
4170500,2888500,Abies alba
4118500,2992500,Abies alba
4196500,2768500,Abies alba
4291500,2869500,Abies alba
4268500,2747500,Abies alba
4328500,2744500,Abies alba
4150500,2743500,Abies alba
4454500,2747500,Abies alba
4326500,2720500,Abies alba
4174500,2910500,Abies alba
4200500,2788500,Abies alba
4472500,2839500,Abies alba
4306500,2879500,Abies alba
4242500,2783500,Abies alba
4419500,2710500,Abies alba
4362500,2900500,Abies alba
4303500,2873500,Abies alba
4514500,2912500,Abies alba
4322500,2876500,Abies alba
4166500,2795500,Abies alba
4226500,2780500,Abies alba
4262500,3497500,Abies alba
4227500,2860500,Abies alba
4219500,2859000,Abies alba
4178500,2758500,Abies alba
4512500,2828500,Abies alba
4203500,2848500,Abies alba
4490500,2752500,Abies alba
4454500,2755500,Abies alba
4158500,2755500,Abies alba
4243500,2815500,Abies alba
4243500,2809500,Abies alba
4178500,2754500,Abies alba
4174500,2772500,Abies alba
4397500,2871500,Abies alba
4361500,2734500,Abies alba
4299500,2861500,Abies alba
4232500,2770500,Abies alba
4232500,2780500,Abies alba
4228500,2784500,Abies alba
4189500,2840500,Abies alba
4222500,2792500,Abies alba
4222500,2772500,Abies alba
4434500,2746500,Abies alba
4252500,2795500,Abies alba
4155500,2729500,Abies alba
4305500,2869500,Abies alba
4189500,2810500,Abies alba
4299500,2873500,Abies alba
4499500,2880500,Abies alba
4178500,2790500,Abies alba
4225500,2858500,Abies alba
4195500,2838500,Abies alba
4125500,3008500,Abies alba
4225500,2862500,Abies alba
4171500,2808500,Abies alba
4200500,2744500,Abies alba
4302500,2731500,Abies alba
4535500,2865500,Abies alba
4170500,2739500,Abies alba
4283500,2959500,Abies alba
4593500,2843500,Abies alba
4259500,2811500,Abies alba
4272500,2791500,Abies alba
4189500,2846500,Abies alba
4166500,2769500,Abies alba
4197500,2836500,Abies alba
4299500,2855500,Abies alba
4170500,2735500,Abies alba
4190500,2798500,Abies alba
4209500,2838500,Abies alba
4199500,2810500,Abies alba
4180500,2926500,Abies alba
4151500,2729500,Abies alba
4293500,3433500,Abies alba
4187500,2808500,Abies alba
4511500,2732500,Abies alba
4214500,2786500,Abies alba
4435500,2730500,Abies alba
4181500,2816500,Abies alba
4138500,2911500,Abies alba
4298500,3479500,Abies alba
4514500,2920500,Abies alba
4192500,2736500,Abies alba
4251500,2807500,Abies alba
4293500,2871500,Abies alba
4196500,2796500,Abies alba
4329500,2866500,Abies alba
4490500,2904500,Abies alba
4133500,2901500,Abies alba
4295500,2865500,Abies alba
4324500,2782500,Abies alba
4167500,2805500,Abies alba
4199500,2818500,Abies alba
4203500,2808500,Abies alba
4335500,2872500,Abies alba
4189500,2834500,Abies alba
4427500,3018500,Abies alba
4253500,2829500,Abies alba
4228500,2776500,Abies alba
4186500,2750500,Abies alba
4195500,2806500,Abies alba
4562500,3074500,Abies alba
4415500,2726000,Abies alba
4205500,2848500,Abies alba
4215500,2828500,Abies alba
4182500,2802500,Abies alba
4219500,2860500,Abies alba
4527500,2889500,Abies alba
4164500,2907500,Abies alba
4256500,3524500,Abies alba
4177500,2726500,Abies alba
4303500,2869500,Abies alba
4177500,2806500,Abies alba
4182500,2770500,Abies alba
4196500,2742500,Abies alba
4199500,2820500,Abies alba
4212500,2770500,Abies alba
4394500,2917500,Abies alba
4446500,2754500,Abies alba
4215500,2834500,Abies alba
4179500,2820500,Abies alba
4182500,2738500,Abies alba
4520500,2824500,Abies alba
4233500,2836500,Abies alba
4211500,2836500,Abies alba
4172500,2736500,Abies alba
4182500,2740500,Abies alba
4169500,2807500,Abies alba
4187500,2812500,Abies alba
4219500,2842500,Abies alba
4200500,2796500,Abies alba
4288500,2877500,Abies alba
4333500,2830500,Abies alba
4483500,2727500,Abies alba
4170000,2748500,Abies alba
4226500,2800500,Abies alba
4541000,2825000,Abies alba
4195500,2844500,Abies alba
4551500,2873500,Abies alba
4195500,2820500,Abies alba
4196500,2800500,Abies alba
4176500,2928500,Abies alba
4170500,2796500,Abies alba
4133500,2969500,Abies alba
4213500,2806500,Abies alba
4328500,2878500,Abies alba
4400500,2705500,Abies alba
4186500,2744500,Abies alba
4205500,2856500,Abies alba
4277500,2961500,Abies alba
4160500,2895500,Abies alba
4190500,2790500,Abies alba
4227500,2822500,Abies alba
4588500,2863500,Abies alba
4530500,2757500,Abies alba
4543500,2865500,Abies alba
4192500,2774500,Abies alba
4447000,2742500,Abies alba
4303500,2857500,Abies alba
4191500,2842500,Abies alba
4224500,2880500,Abies alba
4160500,2743500,Abies alba
4168500,2755500,Abies alba
4225500,2868500,Abies alba
4364500,2778500,Abies alba
4207500,2854500,Abies alba
4196500,2786500,Abies alba
4304500,2895500,Abies alba
